name,optionalIn,flags,requiredIn,cardinality,callback,immutable,type,value,max,min,since
c,account,domainAdminModifiable,,,,,,,,,
co,account,domainAdminModifiable,,,,,,,,,
company,account,domainAdminModifiable,,,,,,,,,
cn,"account,alias,distributionList","domainAdminModifiable,accountInfo","cos,server,alwaysOnCluster,ucService,mimeEntry,objectEntry,zimletEntry,xmppComponent,aclTarget,shareLocator,groupStaticUnit",,,,,,,,
description,"account,distributionList,group,groupDynamicUnit,groupStaticUnit,cos,domain,server,alwaysOnCluster,ucService,mimeEntry,objectEntry,aclTarget,globalConfig,xmppComponent,zimletEntry,calendarResource",domainAdminModifiable,,multi,,,,,,,
destinationIndicator,account,domainAdminModifiable,,,,,,,,,
displayName,"account,distributionList,group,groupDynamicUnit","accountInfo,domainAdminModifiable",calendarResource,,DisplayName,,,,,,
facsimileTelephoneNumber,account,domainAdminModifiable,,,,,,,,,
gn,account,domainAdminModifiable,,,,,,,,,
givenName,account,domainAdminModifiable,,,,,,,,,
homePhone,account,domainAdminModifiable,,,,,,,,,
initials,account,domainAdminModifiable,,,,,,,,,
internationaliSDNNumber,account,domainAdminModifiable,,,,,,,,,
l,account,domainAdminModifiable,,,,,,,,,
mail,"account,distributionList,group,groupDynamicUnit",idn,,,,1,,,,,
mobile,account,domainAdminModifiable,,,,,,,,,
o,account,domainAdminModifiable,,,,,,,,,
ou,account,domainAdminModifiable,,,,,,,,,
pager,account,domainAdminModifiable,,,,,,,,,
physicalDeliveryOfficeName,account,domainAdminModifiable,,,,,,,,,
postOfficeBox,account,domainAdminModifiable,,,,,,,,,
postalAddress,account,domainAdminModifiable,,,,,,,,,
postalCode,account,domainAdminModifiable,,,,,,,,,
preferredDeliveryMethod,account,domainAdminModifiable,,,,,,,,,
registeredAddress,account,domainAdminModifiable,,,,,,,,,
sn,account,domainAdminModifiable,,,,,,,,,
st,account,domainAdminModifiable,,,,,,,,,
street,account,domainAdminModifiable,,,,,,,,,
streetAddress,account,domainAdminModifiable,,,,,,,,,
telephoneNumber,account,domainAdminModifiable,,,,,,,,,
teletexTerminalIdentifier,account,domainAdminModifiable,,,,,,,,,
telexNumber,account,domainAdminModifiable,,,,,,,,,
title,account,domainAdminModifiable,,,,,,,,,
uid,alias,accountInfo,"account,distributionList",,,1,,,,,
userCertificate,account,,,multi,,,certificate,,,,
userPassword,account,,,,,,,,,,
userSMIMECertificate,account,,,multi,,,binary,,,,
x121Address,account,domainAdminModifiable,,,,,,,,,
zimbraId,,accountInfo,"account,alias,distributionList,cos,domain,server,alwaysOnCluster,ucService,calendarResource,xmppComponent,group,groupDynamicUnit,groupStaticUnit",single,,1,id,,,,
zimbraAccountStatus,calendarResource,domainAdminModifiable,account,single,AccountStatus,,enum,"active,maintenance,locked,closed,lockout,pending",,,
zimbraMailAddress,mailRecipient,,,multi,,1,email,,256,,
zimbraMailHost,"mailRecipient,group",,,single,MailHost,,astring,,256,,
zimbraNotes,"account,distributionList,group,cos,domain,server",domainAdminModifiable,,single,,,,,1024,,
zimbraMemberOf,account,,,multi,,1,id,,,,
zimbraMailForwardingAddress,"mailRecipient,groupStaticUnit","accountInfo,domainAdminModifiable",,multi,,,email,,256,,
zimbraMailDeliveryAddress,mailRecipient,,,multi,,1,email,,256,,
zimbraCOSId,account,,,single,CosId,,id,,,,
zimbraMailStatus,"mailRecipient,group,groupDynamicUnit,domain",domainAdminModifiable,,single,,,enum,"enabled,disabled",,,
zimbraMailQuota,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,long,,,,
zimbraPrefMailSignature,"account,identity,signature",domainAdminModifiable,,single,MailSignature,,,,,,
zimbraPrefMailSignatureEnabled,"account,identity",domainAdminModifiable,,single,,,boolean,,,,
zimbraMailAlias,"mailRecipient,group,groupDynamicUnit",accountInfo,,multi,,1,email,,256,,
zimbraPrefSaveToSent,"account,cos,identity","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraIsAdminAccount,account,accountInfo,,single,,,boolean,,,,
zimbraMailSieveScript,account,,,single,MailSieveScript,,,,,,
zimbraPasswordMinLength,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPasswordMaxLength,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPasswordMinAge,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPasswordMaxAge,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPasswordEnforceHistory,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPasswordHistory,account,,,multi,,,ostring,,128,,
zimbraPasswordModifiedTime,account,,,single,,,gentime,,,,
zimbraPasswordMustChange,account,domainAdminModifiable,,single,,,boolean,,,,
zimbraPasswordLocked,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefGroupMailBy,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"conversation,message",,,
zimbraPrefIncludeSpamInSearch,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefIncludeTrashInSearch,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefMailItemsPerPage,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,,
zimbraPrefOutOfOfficeReply,account,domainAdminModifiable,,single,OutOfOfficeCallback,,,,8192,,
zimbraPrefOutOfOfficeReplyEnabled,account,domainAdminModifiable,,single,OutOfOfficeCallback,,boolean,,,,
zimbraPrefReplyToAddress,"account,identity,dataSource,distributionList,group",domainAdminModifiable,,single,Email,,,,256,,
zimbraPrefUseKeyboardShortcuts,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefMailInitialSearch,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,512,,
zimbraPrefSentMailFolder,"account,cos,identity","accountInherited,domainAdminModifiable",,single,,,,,256,,
zimbraMailTrashLifetime,"account,cos","accountInherited,domainAdminModifiable,accountInfo",,single,,,duration,,,,
zimbraMailSpamLifetime,"account,cos","accountInherited,domainAdminModifiable,accountInfo",,single,,,duration,,,,
zimbraMailMessageLifetime,"account,cos","accountInherited,domainAdminModifiable,accountInfo",,single,,,duration,,,,
zimbraContactMaxNumEntries,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,
zimbraAuthTokenLifetime,"account,cos","accountInherited,domainAdminModifiable",,single,PositiveTimeInterval,,duration,,,,
zimbraAdminAuthTokenLifetime,"account,cos","accountInherited,domainAdminModifiable",,single,PositiveTimeInterval,,duration,,,,
zimbraMailMinPollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,duration,,,,
zimbraPrefMailPollingInterval,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,
zimbraLastLogonTimestamp,account,ephemeral,,single,,1,gentime,,,,
zimbraAttachmentsBlocked,"account,cos,globalConfig","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraAttachmentsViewInHtmlOnly,"account,cos,globalConfig","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefNewMailNotificationEnabled,account,domainAdminModifiable,,single,,,boolean,,,,
zimbraPrefNewMailNotificationAddress,account,domainAdminModifiable,,single,,,email,,256,,
zimbraPrefForwardReplyPrefixChar,"account,cos,identity","accountInherited,domainAdminModifiable",,single,,,astring,,1,,
zimbraPrefAutoAddAddressEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefReplyIncludeOriginalText,"account,cos,identity","accountInherited,domainAdminModifiable",,single,,,enum,"includeAsAttachment,includeBody,includeBodyWithPrefix,includeNone,includeSmart,includeBodyAndHeadersWithPrefix,includeBodyAndHeaders,includeSmartWithPrefix,includeSmartAndHeaders,includeSmartAndHeadersWithPrefix,includeBodyOnly",,,
zimbraPrefForwardIncludeOriginalText,"account,cos,identity","accountInherited,domainAdminModifiable",,single,,,enum,"includeAsAttachment,includeBody,includeBodyWithPrefix,includeBodyAndHeadersWithPrefix,includeBodyAndHeaders,includeBodyOnly",,,
zimbraFeatureContactsEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureCalendarEnabled,"account,cos","accountInfo,accountInherited",,single,FeatureCalendarEnabled,,boolean,,,,
zimbraFeatureTaggingEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureSavedSearchesEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureConversationsEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureChangePasswordEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureInitialSearchPreferenceEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureFiltersEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraPrefDedupeMessagesSentToSelf,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"dedupeNone,secondCopyifOnToOrCC,dedupeAll",,,
zimbraPrefMessageViewHtmlPreferred,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraMailIdleSessionTimeout,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,duration,,,,
zimbraPrefContactsPerPage,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,,
zimbraFeatureGalEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraNewMailNotificationFrom,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,1000,,
zimbraNewMailNotificationSubject,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,1000,,
zimbraNewMailNotificationBody,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,10000,,
zimbraPrefMailSignatureStyle,"account,cos,identity","accountInherited,domainAdminModifiable",,single,,,enum,"outlook,internet",,,
zimbraAttachmentsIndexingEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraImapEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPop3Enabled,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefShowFragments,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefComposeInNewWindow,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraMailCanonicalAddress,mailRecipient,domainAdminModifiable,,single,,,email,,256,,
zimbraMailCatchAllAddress,mailRecipient,idn,,multi,,,regex,^@[A-Za-z0-9-\.]+$,256,,
zimbraMailCatchAllForwardingAddress,mailRecipient,idn,,single,,,regex,^@[A-Za-z0-9-\.]+$,256,,
zimbraMailCatchAllCanonicalAddress,mailRecipient,idn,,single,,,regex,^@[A-Za-z0-9-\.]+$,256,,
zimbraPrefComposeFormat,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"text,html",,,
zimbraPrefForwardReplyInOriginalFormat,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraFeatureHtmlComposeEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraPrefShowSearchString,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefTimeZoneId,"account,cos,domain","accountCosDomainInherited,domainAdminModifiable",,multi,,,,,256,,
zimbraPrefUseTimeZoneListInCalendar,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefCalendarInitialView,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"day,week,workWeek,month,list,year",,,
zimbraPrefImapSearchFoldersEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraMailTransport,mailRecipient,,,single,,,astring,,320,,
zimbraAuthLdapExternalDn,account,domainAdminModifiable,,single,,,,,256,,
zimbraPrefHtmlEditorDefaultFontFamily,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,64,,
zimbraPrefHtmlEditorDefaultFontSize,"account,cos","accountInherited,domainAdminModifiable",,single,,,astring,,32,,
zimbraPrefHtmlEditorDefaultFontColor,"account,cos","accountInherited,domainAdminModifiable",,single,,,astring,,32,,
zimbraPrefCalendarFirstDayOfWeek,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,6,0,
zimbraPrefCalendarNotifyDelegatedChanges,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefCalendarUseQuickAdd,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefCalendarInitialCheckedCalendars,account,domainAdminModifiable,,single,,,astring,,512,,
zimbraPrefCalendarAlwaysShowMiniCal,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraZimletAvailableZimlets,"account,cos","accountInfo,domainAdminModifiable,accountInherited",,multi,AvailableZimlets,,,,256,,
zimbraProxyAllowedDomains,"account,cos",,,multi,,,,,256,,
zimbraForeignPrincipal,account,domainAdminModifiable,,multi,ForeignPrincipal,,,,256,,
zimbraZimletUserProperties,account,domainAdminModifiable,,multi,,,cstring,,51200,,
zimbraIsDomainAdminAccount,account,"accountInfo,domainAdminModifiable",,single,,,boolean,,,,
zimbraFeatureViewInHtmlEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraAccountCalendarUserType,account,domainAdminModifiable,calendarResource,single,,,enum,"USER,RESOURCE",,,
zimbraFeatureSharingEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraPrefCalendarApptReminderWarningTime,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,-1,
zimbraFeatureMailForwardingEnabled,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefMailForwardingAddress,account,domainAdminModifiable,,single,PrefMailForwardingAddress,,cs_emailp,,,,
zimbraPrefMailLocalDeliveryDisabled,account,domainAdminModifiable,,single,,,boolean,,,,
zimbraLocale,"mailRecipient,account,alias,distributionList,group,cos,globalConfig,domain,server,calendarResource","accountInfo,accountInherited,domainAdminModifiable,serverInherited",,single,,,,,64,,
zimbraMailboxLocationBeforeMove,account,,,single,,,astring,,256,,
zimbraFeatureMobileSyncEnabled,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraHideInGal,"mailRecipient,group",domainAdminModifiable,,single,,,boolean,,,,
zimbraFeatureSkinChangeEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraPrefSkin,"account,cos,domain","domainInfo,accountCosDomainInherited,domainAdminModifiable",,single,,,,,80,,
zimbraFeatureGalAutoCompleteEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraAvailableSkin,"account,cos,domain","domainInfo,accountInfo,accountCosDomainInherited,domainAdminModifiable",,multi,,,,,80,,
zimbraDebugInfo,account,,,multi,,,,,1024,,
zimbraFeatureOutOfOfficeReplyEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureNewMailNotificationEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraPrefGalAutoCompleteEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraIsSystemResource,account,,,single,,,boolean,,,,
zimbraPasswordLockoutEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPasswordLockoutDuration,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,
zimbraPasswordLockoutMaxFailures,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,,
zimbraPasswordLockoutFailureLifetime,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,
zimbraPasswordLockoutLockedTime,account,domainAdminModifiable,,single,,,gentime,,,,
zimbraPasswordLockoutFailureTime,account,domainAdminModifiable,,multi,,,gentime,,,,
zimbraPrefOutOfOfficeFromDate,account,domainAdminModifiable,,single,,,gentime,,,,
zimbraPrefOutOfOfficeUntilDate,account,domainAdminModifiable,,single,,,gentime,,,,
zimbraPrefOutOfOfficeCacheDuration,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,
zimbraPrefOutOfOfficeDirectAddress,account,domainAdminModifiable,,multi,,,email,,,,
zimbraPasswordMinUpperCaseChars,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPasswordMinLowerCaseChars,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPasswordMinPunctuationChars,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPasswordMinNumericChars,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraTextAnalyzer,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,,,
zimbraPrefUseRfc2231,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefShortcuts,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,2048,,
zimbraDomainAdminMaxMailQuota,"account,cos","accountInfo,accountInherited",,single,,,long,,,,
zimbraVersion,account,,,single,,,integer,,,,
zimbraPrefFromDisplay,"account,identity,dataSource",domainAdminModifiable,,single,,,,,256,,
zimbraPrefFromAddress,"account,identity,dataSource",domainAdminModifiable,,single,,,,,256,,
zimbraPrefReplyToDisplay,"account,identity,dataSource,distributionList,group",domainAdminModifiable,,single,,,,,256,,
zimbraPrefReplyToEnabled,"account,identity,distributionList,group",domainAdminModifiable,,single,,,boolean,,,,
zimbraPrefWhenSentToEnabled,"account,identity",domainAdminModifiable,,single,,,boolean,,,,
zimbraPrefWhenSentToAddresses,"account,identity",domainAdminModifiable,,multi,,,,,2048,,
zimbraPrefWhenInFoldersEnabled,"account,identity",domainAdminModifiable,,single,,,boolean,,,,
zimbraPrefWhenInFolderIds,"account,identity",domainAdminModifiable,,multi,,,,,512,,
zimbraPrefBccAddress,"account,identity",domainAdminModifiable,,single,,,,,2048,,
zimbraPrefIdentityName,account,domainAdminModifiable,identity,single,,,,,128,,
zimbraPrefForwardReplyFormat,"cos,account,identity",domainAdminModifiable,,single,,,enum,"text,html,same",,,
zimbraIdentityMaxNumEntries,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,
zimbraFeatureIdentitiesEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeaturePop3DataSourceEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraDataSourceMaxNumEntries,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,
zimbraAllowAnyFromAddress,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraAllowFromAddress,account,"accountInfo,domainAdminModifiable",,multi,AllowFromAddress,,email,,256,,
zimbraArchiveAccount,account,,,multi,,,email,,256,,
zimbraArchiveAccountNameTemplate,"account,cos",accountInherited,,single,,,,,256,,
zimbraArchiveAccountDateTemplate,"account,cos",accountInherited,,single,,,,,256,,
zimbraFeatureTasksEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraSyncWindowSize,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraPrefCalendarDayHourStart,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,23,0,
zimbraPrefCalendarDayHourEnd,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,24,0,
zimbraPrefLocale,"account,cos,","accountInherited,domainAdminModifiable",,single,,,,,64,,
zimbraFeatureVoiceEnabled,"account,cos",accountInherited,,single,,,boolean,,,,
zimbraAdminSavedSearches,"account,cos","accountInherited,domainAdminModifiable",,multi,,,,,512,,
zimbraFeaturePortalEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraPortalName,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,,,256,,
zimbraFeatureOptionsEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraPrefClientType,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"standard,advanced",,,
zimbraMailSignatureMaxLength,"account,cos","accountInfo,accountInherited",,single,,,long,,,0,
zimbraDataSourcePollingInterval,"dataSource,account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,
zimbraPrefWarnOnExit,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefMailDefaultCharset,"account,cos","accountInherited,domainAdminModifiable",,single,MailCharset,,,,64,,
zimbraPrefDeleteInviteOnReply,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefShowSelectionCheckbox,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraFeatureGroupCalendarEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraNotebookMaxRevisions,"account,cos",accountInherited,,single,,,integer,,,0,
zimbraQuotaWarnPercent,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,100,0,
zimbraQuotaLastWarnTime,account,,,single,,,gentime,,,,
zimbraQuotaWarnInterval,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,
zimbraQuotaWarnMessage,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,10000,,
zimbraAvailableLocale,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,multi,,,,,80,,
zimbraFeatureMailEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraSignatureId,account,,signature,single,,,id,,,,
zimbraSignatureName,account,domainAdminModifiable,signature,single,,,,,128,,
zimbraPrefDefaultSignatureId,"account,identity,dataSource",domainAdminModifiable,,single,,,,,,,
zimbraSignatureMaxNumEntries,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,
zimbraFeatureSignaturesEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureBriefcasesEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraFeatureFlaggingEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraPrefOpenMailInNewWindow,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraExcludeFromCMBSearch,account,,,single,,,boolean,,,,
zimbraPrefDisplayExternalImages,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,
zimbraPrefMailSignatureHTML,"account,signature",domainAdminModifiable,,single,MailSignature,,,,,,
zimbraFeatureInstantNotify,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,
zimbraSignatureMinNumEntries,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,
zimbraDataSourceMinPollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.0
zimbraPrefVoiceItemsPerPage,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,,5.0.0
zimbraFeatureMailUpsellEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.0
zimbraFeatureMailUpsellURL,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,,,256,,5.0.0
zimbraFeatureContactsUpsellEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.0
zimbraFeatureContactsUpsellURL,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,,,256,,5.0.0
zimbraFeatureCalendarUpsellEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.0
zimbraFeatureCalendarUpsellURL,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,,,256,,5.0.0
zimbraFeatureVoiceUpsellEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.0
zimbraFeatureVoiceUpsellURL,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,,,256,,5.0.0
zimbraPrefInboxUnreadLifetime,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.0
zimbraPrefInboxReadLifetime,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.0
zimbraPrefSentLifetime,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.0
zimbraPrefJunkLifetime,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.0
zimbraPrefTrashLifetime,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.0
zimbraFeatureZimbraAssistantEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.0
