name,optionalIn,flags,requiredIn,cardinality,callback,immutable,type,value,max,min,since
zimbraPrefAutoSaveDraftInterval,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.0
zimbraFeatureMailPriorityEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.0
zimbraFeatureImapDataSourceEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.0
zimbraPrefCalendarReminderEmail,account,domainAdminModifiable,,single,,,email,,256,,7.0.0
zimbraJunkMessagesIndexingEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.0
zimbraFeatureComposeInNewWindowEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.1
zimbraFeatureOpenMailInNewWindowEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.1
zimbraIsCustomerCareAccount,account,accountInfo,,single,,,boolean,,,,5.0.2
zimbraPrefLabel,account,domainAdminModifiable,,single,,,,,256,,5.0.2
zimbraSpamApplyUserFilters,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.2
zimbraCustomerCareTier,account,accountInfo,,single,,,integer,,3,,5.0.3
zimbraFreebusyExchangeURL,"globalConfig,domain,cos,account","domainInherited,accountCosDomainInherited",,single,FreeBusyProviderURLCheck,,,,256,,5.0.3
zimbraFreebusyExchangeAuthUsername,"globalConfig,domain,cos,account","domainInherited,accountCosDomainInherited",,single,,,,,256,,5.0.3
zimbraFreebusyExchangeAuthPassword,"globalConfig,domain,cos,account","domainInherited,accountCosDomainInherited",,single,,,,,256,,5.0.3
zimbraFreebusyExchangeUserOrg,"globalConfig,domain,cos,account","domainInherited,accountCosDomainInherited",,single,,,,,256,,5.0.3
zimbraFreebusyExchangeAuthScheme,"globalConfig,domain,cos,account","domainInherited,accountCosDomainInherited",,single,,,enum,"basic,form",,,5.0.3
zimbraInterceptAddress,"account,cos","accountInherited,domainAdminModifiable",,multi,,,,,,,5.0.3
zimbraInterceptSendHeadersOnly,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.3
zimbraInterceptFrom,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,,,5.0.3
zimbraInterceptSubject,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,,,5.0.3
zimbraInterceptBody,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,,,5.0.3
zimbraBatchedIndexingSize,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,0,5.0.3
zimbraFreebusyExchangeCachedIntervalStart,"globalConfig,domain,cos,account","domainInherited,accountCosDomainInherited",,single,,,duration,,,,5.0.3
zimbraFreebusyExchangeCachedInterval,"globalConfig,domain,cos,account","domainInherited,accountCosDomainInherited",,single,,,duration,,,,5.0.3
zimbraFeatureNewAddrBookEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.4
zimbraPrefTagTreeOpen,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.5
zimbraPrefSearchTreeOpen,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.5
zimbraPrefGalSearchEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.5
zimbraPrefFolderTreeOpen,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.5
zimbraPrefZimletTreeOpen,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.5
zimbraNotebookSanitizeHtml,"account,cos",accountInherited,,single,,,boolean,,,,5.0.6
zimbraPrefMarkMsgRead,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,-1,5.0.6
zimbraPrefPop3DownloadSince,"account,cos","accountInherited,domainAdminModifiable",,single,,,gentime,,,,5.0.6
zimbraYahooId,account,,,single,,,,,256,,5.0.6
zimbraACE,"account,distributionList,cos,domain,globalConfig,server,alwaysOnCluster,ucService,zimletEntry,xmppComponent,aclTarget,group",,,multi,,,,,,,5.0.7
zimbraPrefMailSoundsEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.7
zimbraPrefCalendarReminderSoundsEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.7
zimbraPrefAdvancedClientEnforceMinDisplay,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.7
zimbraPrefMailFlashTitle,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.7
zimbraPrefMailFlashIcon,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.7
zimbraPrefCalendarReminderFlashTitle,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.7
zimbraPrefCalendarAllowForwardedInvite,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefCalendarAllowPublishMethodInvite,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefStandardClientAccessibilityMode,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefListViewColumns,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,,,5.0.9
zimbraPrefCalendarAllowCancelEmailToSelf,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.9
zimbraFeatureMailForwardingInFiltersEnabled,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.10
zimbraCalendarMaxRevisions,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,0,5.0.10
zimbraFeatureGalSyncEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.10
zimbraMailPurgeUseChangeDateForTrash,"account,cos",accountInherited,,single,,,boolean,,,,5.0.17
zimbraPrefMandatorySpellCheckEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraFreebusyLocalMailboxNotActive,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.11
zimbraContactRankingTableSize,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,0,6.0.0_BETA1
zimbraPrefSharedAddrBookAutoCompleteEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraAdminConsoleUIComponents,"account,distributionList,group",accountInfo,,multi,,,,,,,6.0.0_BETA1
zimbraPrefZimlets,"account,cos",domainAdminModifiable,,multi,,,,,,,6.0.0_BETA1
zimbraDataSourcePop3PollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,6.0.0_BETA1
zimbraDataSourceImapPollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,6.0.0_BETA1
zimbraDataSourceLivePollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,6.0.0_BETA1
zimbraDataSourceRssPollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,6.0.0_BETA1
zimbraPrefFolderColorEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraFeatureDiscardInFiltersEnabled,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraReverseProxyUseExternalRoute,"account,domain",domainAdminModifiable,,single,,,boolean,,,,5.0.12
zimbraExternalPop3Port,"account,domain",domainAdminModifiable,,single,,,port,,,,5.0.12
zimbraExternalPop3SSLPort,"account,domain",domainAdminModifiable,,single,,,port,,,,5.0.12
zimbraExternalImapPort,"account,domain",domainAdminModifiable,,single,,,port,,,,5.0.12
zimbraExternalImapSSLPort,"account,domain",domainAdminModifiable,,single,,,port,,,,5.0.12
zimbraExternalPop3Hostname,"account,domain",domainAdminModifiable,,single,,,,,256,,5.0.12
zimbraExternalPop3SSLHostname,"account,domain",domainAdminModifiable,,single,,,,,256,,5.0.12
zimbraExternalImapHostname,"account,domain",domainAdminModifiable,,single,,,,,256,,5.0.12
zimbraExternalImapSSLHostname,"account,domain",domainAdminModifiable,,single,,,,,256,,5.0.12
zimbraDataSourceCaldavPollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,6.0.0_BETA1
zimbraDataSourceYabPollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,6.0.0_BETA1
zimbraCreateTimestamp,"account,alias,distributionList,cos,dataSource,domain,identity,globalConfig,server,alwaysOnCluster,ucService,signature,calendarResource,xmppComponent,zimletEntry,group,groupDynamicUnit,groupStaticUnit",,,single,,1,gentime,,,,6.0.0_BETA1
zimbraSmtpEnableTrace,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraMailWhitelistMaxNumEntries,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,6.0.0_BETA1
zimbraMailBlacklistMaxNumEntries,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,6.0.0_BETA1
zimbraPrefReadingPaneLocation,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"bottom,right,off",,,6.0.0_BETA1
zimbraFeatureConfirmationPageEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefMailToasterEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefCalendarToasterEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefIMToasterEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraCalendarCalDavSyncStart,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.14
zimbraCalendarCalDavSyncEnd,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.14
zimbraCalendarCalDavSharedFolderCacheDuration,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,5.0.14
zimbraPrefConversationOrder,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"dateDesc,dateAsc",,,6.0.0_BETA1
zimbraDataSourceCalendarPollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,6.0.0_BETA1
zimbraFeatureReadReceiptsEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefMailSendReadReceipts,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"always,never,prompt",,,6.0.0_BETA1
zimbraDataSourceGalPollingInterval,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,DataSourceCallback,,duration,,,0,6.0.0_BETA1
zimbraContactAutoCompleteMaxResults,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,6.0.0_BETA1
zimbraPrefCalendarApptVisibility,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"public,private",,,6.0.0_BETA1
zimbraFeatureMobilePolicyEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.0_BETA1
zimbraMobilePolicyAllowNonProvisionableDevices,"account,cos",accountInherited,,single,,,boolean,,,,6.0.0_BETA1
zimbraMobilePolicyAllowPartialProvisioning,"account,cos",accountInherited,,single,,,boolean,,,,6.0.0_BETA1
zimbraMobilePolicyRefreshInterval,"account,cos",accountInherited,,single,,,integer,,,,6.0.0_BETA1
zimbraMobilePolicyDevicePasswordEnabled,"account,cos",accountInherited,,single,,,boolean,,,,6.0.0_BETA1
zimbraMobilePolicyMinDevicePasswordLength,"account,cos",accountInherited,,single,,,integer,,,,6.0.0_BETA1
zimbraMobilePolicyAllowSimpleDevicePassword,"account,cos",accountInherited,,single,,,boolean,,,,6.0.0_BETA1
zimbraMobilePolicyAlphanumericDevicePasswordRequired,"account,cos",accountInherited,,single,,,boolean,,,,6.0.0_BETA1
zimbraMobilePolicyMinDevicePasswordComplexCharacters,"account,cos",accountInherited,,single,,,integer,,,,6.0.0_BETA1
zimbraMobilePolicyDevicePasswordExpiration,"account,cos",accountInherited,,single,,,integer,,,,6.0.0_BETA1
zimbraMobilePolicyDevicePasswordHistory,"account,cos",accountInherited,,single,,,integer,,,,6.0.0_BETA1
zimbraMobilePolicyMaxInactivityTimeDeviceLock,"account,cos",accountInherited,,single,,,integer,,,,6.0.0_BETA1
zimbraMobilePolicyMaxDevicePasswordFailedAttempts,"account,cos",accountInherited,,single,,,integer,,,,6.0.0_BETA1
zimbraMobilePolicyPasswordRecoveryEnabled,"account,cos",accountInherited,,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefCalendarAutoAddInvites,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefCalendarSendInviteDeniedAutoReply,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefCalendarForwardInvitesTo,"account,calendarResource",domainAdminModifiable,,multi,,,,,,,6.0.0_BETA1
zimbraIsDelegatedAdminAccount,account,accountInfo,,single,,,boolean,,,,6.0.0_BETA1
zimbraPrefConvReadingPaneLocation,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"bottom,right,off",,,6.0.0_BETA2
zimbraMaxMailItemsPerPage,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,,6.0.0_BETA2
zimbraMaxContactsPerPage,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,,6.0.0_BETA2
zimbraMaxVoiceItemsPerPage,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,,6.0.0_BETA2
zimbraPrefCalendarShowPastDueReminders,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA2
zimbraGalSyncAccountBasedAutoCompleteEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_BETA2
zimbraPrefAppleIcalDelegationEnabled,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,5.0.17
zimbraPrefAdminConsoleWarnOnExit,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_RC1
zimbraMailForwardingAddressMaxLength,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,6.0.0_RC1
zimbraMailForwardingAddressMaxNumAddrs,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,6.0.0_RC1
zimbraPrefSpellDictionary,"account,cos,","accountInherited,domainAdminModifiable",,single,,,,,64,,6.0.0_GA
zimbraAuthTokenValidityValue,account,domainAdminModifiable,,single,,,integer,,,0,6.0.0_GA
zimbraPrefShowCalendarWeek,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_GA
zimbraPrefMailSelectAfterDelete,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"next,previous,adaptive",,,6.0.0_GA
zimbraWebClientShowOfflineLink,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.0_GA
zimbraPrefAccountTreeOpen,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.2
zimbraFeatureVoiceChangePinEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,5.0.19
zimbraFeatureManageZimlets,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.2
zimbraFeatureBriefcaseSpreadsheetEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.2
zimbraFeatureBriefcaseSlidesEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.2
zimbraFeatureBriefcaseDocsEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.2
zimbraPrefGetMailAction,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"default,update",,,6.0.2
zimbraPrefMailFoldersCheckedForNewMsgIndicator,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,1024,,6.0.5
zimbraPrefSpellIgnoreWord,"account,cos,domain",domainAdminModifiable,,multi,,,,,256,,6.0.5
zimbraPrefDisabledZimlets,"account,cos",domainAdminModifiable,,multi,,,,,,,6.0.5
zimbraSmtpRestrictEnvelopeFrom,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.5
zimbraPrefItemsPerVirtualPage,"account,cos","accountInherited,domainAdminModifiable",,single,,,integer,,,,6.0.6
zimbraCalendarResourceDoubleBookingAllowed,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.7
zimbraContactEmailFields,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,4096,,6.0.7
zimbraPrefCalendarApptAllowAtendeeEdit,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.7
zimbraPrefAutoCompleteQuickCompletionOnComma,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,6.0.7
zimbraCalendarShowResourceTabs,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,6.0.7
zimbraPrefDefaultPrintFontSize,"account,cos","accountInherited,domainAdminModifiable",,single,,,astring,,32,,6.0.8
zimbraMailAllowReceiveButNotSendWhenOverQuota,"account,cos",accountInherited,,single,,,boolean,,,,7.0.0
zimbraPrefCalendarWorkingHours,"account,cos","accountInherited,domainAdminModifiable",,single,WorkingHours,,,,,,7.0.0
zimbraMailPurgeUseChangeDateForSpam,"account,cos",accountInherited,,single,,,boolean,,,,7.0.0
zimbraPrefForwardReplySignatureId,"account,identity,dataSource",domainAdminModifiable,,single,,,id,,,,7.0.0
zimbraFeatureMAPIConnectorEnabled,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,7.0.0
zimbraDumpsterEnabled,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,7.0.0
zimbraPrefMailSignatureContactId,"account,signature",domainAdminModifiable,,single,,,,,,,7.0.0
zimbraMailOutgoingSieveScript,account,,,single,MailSieveScript,,,,,,7.0.0
zimbraMailDumpsterLifetime,"account,cos","accountInherited,domainAdminModifiable,accountInfo",,single,,,duration,,,,7.0.0
zimbraFeatureDistributionListExpandMembersEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,7.0.0
zimbraFeatureMailSendLaterEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,7.0.0
zimbraPrefMailTrustedSenderList,"account,cos,domain","accountCosDomainInherited,domainAdminModifiable",,multi,TrustedSenderList,,astring,,256,,7.0.0
zimbraMailTrustedSenderListMaxNumEntries,"account,cos,domain","accountInfo,accountCosDomainInherited,domainAdminModifiable",,single,,,integer,,,0,7.0.0
zimbraCalendarReminderDeviceEmail,account,"accountInfo,domainAdminModifiable",,single,,,email,,256,,7.0.0
zimbraFeatureFreeBusyViewEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,7.0.0
zimbraPhoneticFirstName,account,domainAdminModifiable,,single,,,,,256,,7.0.0
zimbraPhoneticLastName,account,domainAdminModifiable,,single,,,,,256,,7.0.0
zimbraPhoneticCompany,account,domainAdminModifiable,,single,,,,,256,,7.0.0
zimbraFeatureCalendarReminderDeviceEmailEnabled,"account,cos,domain","accountInfo,accountCosDomainInherited",,single,,,boolean,,,,7.0.0
zimbraPrefTasksReadingPaneLocation,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"bottom,right,off",,,7.0.0
zimbraPrefBriefcaseReadingPaneLocation,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"bottom,right,off",,,7.0.0
zimbraFilterBatchSize,"account,cos","accountInherited,domainAdminModifiable,accountInfo",,single,,,integer,,,,7.0.0
zimbraFilterSleepInterval,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,7.0.0
zimbraMailThreadingAlgorithm,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"subject,subjrefs,references,strict,none",,,8.0.0
zimbraPasswordMinAlphaChars,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,7.1.0
zimbraPasswordAllowedChars,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,cstring,,1024,,7.1.0
zimbraFeatureContactsDetailedSearchEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,7.1.0
zimbraPrefPop3DeleteOption,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"keep,read,trash,delete",,,8.0.0
zimbraPrefPop3IncludeSpam,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,8.0.0
zimbraFeatureAntispamEnabled,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,7.1.0
zimbraFeatureAdminMailEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,7.1.0
zimbraPrefShortEmailAddress,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,7.0.1
zimbraFeatureManageSMIMECertificateEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,7.1.0
zimbraFeatureImportFolderEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,7.1.0
zimbraFeatureExportFolderEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,7.1.0
zimbraFeatureSMIMEEnabled,"account,cos",accountInherited,,single,,,boolean,,,,7.1.0
zimbraPrefCalendarDefaultApptDuration,"account,cos","accountInherited,domainAdminModifiable",,single,,,duration,,,,8.0.0
zimbraPrefSortOrder,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,,,7.1.0
zimbraPrefCalendarAutoAcceptSignatureId,"account,identity,dataSource",domainAdminModifiable,,single,PlainTextSignature,,id,,,,8.0.0
zimbraPrefCalendarAutoDeclineSignatureId,"account,identity,dataSource",domainAdminModifiable,,single,PlainTextSignature,,id,,,,8.0.0
zimbraPrefCalendarAutoDenySignatureId,"account,identity,dataSource",domainAdminModifiable,,single,PlainTextSignature,,id,,,,8.0.0
zimbraPrefCalendarViewTimeInterval,"account,cos",accountInherited,,single,,,duration,,,,8.0.0
zimbraPrefCalendarShowDeclinedMeetings,"account,cos",accountInherited,,single,,,boolean,,,,8.0.0
zimbraPrefFileSharingApplication,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,briefcase,,,8.0.0
zimbraPrefMessageIdDedupingEnabled,"account,cos",accountInherited,,single,,,boolean,,,,8.0.0
zimbraPrefCalendarAcceptSignatureId,"account,identity,dataSource",domainAdminModifiable,,single,,,id,,,,8.0.0
zimbraPrefCalendarTentativeSignatureId,"account,identity,dataSource",domainAdminModifiable,,single,,,id,,,,8.0.0
zimbraPrefCalendarDeclineSignatureId,"account,identity,dataSource",domainAdminModifiable,,single,,,id,,,,8.0.0
zimbraMobileSmartForwardRFC822Enabled,"account,cos",accountInherited,,single,,,boolean,,,,8.0.0
zimbraArchiveEnabled,"account,cos,globalConfig",accountInherited,,single,,,boolean,,,,8.0.0
zimbraPrefSpellIgnoreAllCaps,"account,cos","accountInherited,domainAdminModifiable",,single,,,boolean,,,,8.0.0
zimbraDefaultFolderFlags,"account,cos","accountInherited,domainAdminModifiable",,single,,,,,32,0,7.1.1
zimbraPrefQuickCommand,account,,,multi,,,,,,,8.0.0
zimbraMailHighlightObjectsMaxSize,"account,cos","accountInfo,accountInherited",,single,,,integer,,,0,7.1.2
zimbraIsSystemAccount,account,,,single,,,boolean,,,,8.0.0
zimbraPrefMailRequestReadReceipts,"account,cos",accountInherited,,single,,,boolean,,,,8.0.0
zimbraCalendarLocationDisabledFields,"account,cos,domain","accountInfo,accountCosDomainInherited",,single,,,,,,,8.0.0
zimbraSharedItem,account,,,multi,,,,,1024,,8.0.0
zimbraCalendarKeepExceptionsOnSeriesTimeChange,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,boolean,,,,7.1.2
zimbraIsExternalVirtualAccount,account,accountInfo,,single,,,boolean,,,,8.0.0
zimbraExternalUserMailAddress,account,accountInfo,,single,,,email,,,,8.0.0
zimbraPrefOutOfOfficeStatusAlertOnLogin,"account,cos",accountInherited,,single,,,boolean,,,,8.0.0
zimbraPrefFont,"account,cos",accountInherited,,single,,,,,,,8.0.0
zimbraPasswordMinDigitsOrPuncs,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,integer,,,0,7.1.3
zimbraPasswordAllowedPunctuationChars,"account,cos","accountInfo,accountInherited,domainAdminModifiable",,single,,,cstring,,64,,7.1.3
zimbraExternalShareLifetime,"account,cos","accountInfo,accountInherited",,single,,,duration,,,,8.0.0
zimbraExternalSharingEnabled,"account,cos,domain","accountInfo,accountCosDomainInherited,domainAdminModifiable",,single,,,boolean,,,,8.0.0
zimbraExternalShareWhitelistDomain,"account,cos,domain","accountCosDomainInherited,domainAdminModifiable",,multi,,,,,,,8.0.0
zimbraExternalShareDomainWhitelistEnabled,"account,cos,domain","accountCosDomainInherited,domainAdminModifiable",,single,,,boolean,,,,8.0.0
zimbraStandardClientCustomPrefTabsEnabled,"account,cos,domain","accountInfo,accountCosDomainInherited",,single,,,boolean,,,,7.1.3
zimbraStandardClientCustomPrefTab,"account,cos,domain","accountInfo,accountCosDomainInherited",,multi,,,,,256,,7.1.3
zimbraFeaturePriorityInboxEnabled,"account,cos","accountInfo,accountInherited",,single,,,boolean,,,,8.0.0
zimbraFeatureSocialFiltersEnabled,"account,cos","accountInfo,accountInherited",,multi,,,enum,"SocialCast,LinkedIn,Twitter,Facebook",,,8.0.0
zimbraPrefComposeDirection,"account,cos","accountInherited,domainAdminModifiable",,single,,,enum,"LTR,RTL",,,8.0.0
